CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2020 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of .GDP ;Country;Population (Millions);GDP (Billions. PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
186;Brunei Darussalam;Brunei ;Asia-Pacific;61;13;66.6;69.8;56.8;49.6;89.8;61.5;20.0;84.1;90.5;77.1;85.0;65;50;0.0;0.0;18.5;26.0;35.8;Brunei Darussalam;0.4;$34.6 ;-0.2;-0.9;$79.530;9.2;0.1;504.0;2.5
23;Bulgaria;Bulgaria;Europe;36;19;70.2;64.2;45.4;44.2;90.3;66.1;99.2;62.6;68.1;85.7;86.4;70;60;1.8;10.0;10.0;27.7;33.6;Bulgaria;7.0;$162.3 ;3.2;3.3;$23.156;5.3;2.6;2.058.8;20.5
24;Burkina Faso;BurkinaFaso;Sub-Saharan Africa;117;15;56.7;46.9;42.6;34.1;81.3;77.0;49.2;47.6;52.1;82.4;61.8;65;40;9.1;27.5;28.0;18.1;27.7;Burkina Faso;19.5;$38.8 ;6.0;5.3;$1.996;6.1;2.0;480.0;43.0
25;Burma;Burma;Asia-Pacific;141;35;54.0;32.5;14.3;31.5;86.6;87.5;84.6;53.1;59.9;77.5;70.8;30;20;4.6;20.0;30.0;6.1;20.4;Burma;52.8;$328.4 ;6.7;6.8;$6.217;1.6;5.9;3.554.0;38.2
26;Burundi;Burundi;Sub-Saharan Africa;166;41;49.0;24.9;26.9;22.3;73.7;85.8;13.2;55.1;67.4;70.3;68.2;50;30;5.9;35.0;35.0;13.6;21.8;Burundi;11.2;$8.2 ;0.1;-0.1;$733;1.5;1.2;1.0;58.4
27;Cambodia;Cambodia;Asia-Pacific;113;25;57.3;43.1;28.1;14.8;89.4;83.9;94.8;31.2;62.5;74.8;65.4;50;50;9.8;20.0;20.0;16.2;23.2;Cambodia;16.3;$70.5 ;7.3;7.1;$4.335;1.1;1.3;3.102.6;29.4
28;Cameroon;Cameroon;Sub-Saharan Africa;145;29;53.6;45.3;30.8;20.8;74.8;88.3;63.7;46.0;50.1;84.1;59.6;30;50;12.7;35.0;33.0;14.4;19.8;Cameroon;24.9;$95.3 ;4.0;4.8;$3.828;3.4;2.4;701.7;37.7
29;Canada;Canada;Americas;9;1;78.2;87.7;72.7;90.3;76.5;50.9;83.3;81.7;72.0;76.0;87.0;80;80;1.5;33.0;15.0;32.2;40.5;Canada;37.0;$1.836.8 ;1.8;1.9;$49.651;5.9;0.9;39.624.6;90.6
30;Cabo Verde;CaboVerde;Sub-Saharan Africa;76;5;63.6;47.5;48.0;46.1;77.7;71.7;66.2;58.5;55.6;83.1;68.2;80;60;10.9;50.0;30.0;6.9;30.7;Cabo Verde;0.6;$4.0 ;4.7;3.0;$7.316;12.3;2.2;99.6;127.7
31;Central African Republic;CentralAfricanRepublic;Sub-Saharan Africa;159;36;50.7;38.1;31.7;24.3;65.5;93.5;95.3;24.3;40.4;73.3;47.2;45;30;16.4;50.0;30.0;6.9;14.7;Central African Republic;5.1;$3.6 ;4.3;3.8;$712;6.5;3.0;18.0;48.5
32;Chad;Chad;Sub-Saharan Africa;161;38;50.2;32.4;27.4;15.1;45.8;93.5;95.6;26.8;43.0;76.1;47.2;60;40;16.4;60.0;45.0;7.7;14.8;Chad;12.5;$30.2 ;3.1;0.4;$2.415;2.2;2.5;662.2;46.6
33;Chile;Chile;Americas;15;2;76.8;69.9;61.1;73.4;76.4;80.8;90.5;75.0;64.7;85.2;89.0;85;70;0.5;35.0;27.0;20.2;25.3;Chile;18.5;$481.8 ;4.0;2.2;$25.978;7.2;2.3;7.160.1;25.6
34;China;China;Asia-Pacific;103;20;59.5;60.9;76.3;46.0;70.4;67.9;67.5;76.8;64.4;71.1;72.4;20;20;3.8;45.0;25.0;17.5;32.7;China;1395.4;$25.270.1 ;6.6;6.9;$18.110;4.4;2.1;139.043.5;50.5
35;Colombia;Colombia;Americas;45;4;69.2;61.1;32.8;46.1;70.4;77.0;85.5;71.3;78.0;77.5;81.2;80;70;4.4;39.0;33.0;18.8;27.7;Colombia;49.8;$744.7 ;2.7;2.8;$14.943;9.1;3.2;11.009.9;50.5
36;Comoros;Comoros;Sub-Saharan Africa;143;28;53.7;43.1;31.7;23.8;63.6;73.6;85.0;47.8;60.3;81.7;59.2;45;30;10.4;30.0;50.0;15.5;29.7;Comoros;0.8;$1.4 ;2.8;2.1;$1.632;3.7;2.0;7.9;31.2
37;Congo. Democratic Republic of the Congo;DemcoraticRepublicCongo;Sub-Saharan Africa;162;39;49.5;30.1;26.5;13.1;74.4;95.4;98.0;51.2;41.6;49.6;64.6;30;20;10.2;30.0;40.0;7.6;12.4;Congo. Democratic Republic of the Congo;95.0;$72.9 ;3.9;5.2;$767;4.2;29.3;1.493.9;15.7
38;Congo. Republic of;RepublicCongo;Sub-Saharan Africa;176;46;41.8;40.7;30.0;23.1;63.3;56.2;0.6;37.5;35.3;83.2;56.8;45;30;11.6;45.0;34.0;22.1;38.2;Congo. Republic of;4.5;$30.3 ;0.8;0.9;$6.799;10.4;1.2;4.313.1;98.5
39;Costa Rica;CostaRica;Americas;68;12;65.8;66.7;54.4;57.2;78.9;88.4;39.7;66.5;55.0;81.2;81.4;70;50;1.8;25.0;30.0;24.1;19.7;Costa Rica;5.0;$88.2 ;2.7;3.5;$17.559;8.1;2.3;2.134.2;53.5
40;Côte d'Ivoire;CoeDivoire;Sub-Saharan Africa;101;9;59.7;48.5;33.0;25.5;77.8;82.5;66.9;62.3;49.2;75.7;69.4;75;50;10.3;36.0;25.0;17.4;24.2;Côte d'Ivoire;25.6;$107.0 ;7.4;8.1;$4.178;2.5;0.3;912.9;52.2
41;Croatia;Croatia;Europe;84;39;62.2;69.9;39.6;51.0;65.9;34.7;89.1;53.6;44.0;77.6;86.4;75;60;2.0;40.0;18.0;38.6;46.6;Croatia;4.1;$107.4 ;2.7;2.3;$26.221;8.9;1.5;1.159.4;73.9
42;Cuba;Cuba;Americas;178;31;26.9;20.1;10.0;38.7;49.5;0.0;14.8;20.0;20.0;64.1;65.6;10;10;7.2;50.0;30.0;40.6;64.8;Cuba;11.3;$155.9 ;2.3;2.0;$13.750;2.3;6.9;1542.18;51.0
43;Cyprus;Cyprus;Europe;37;20;70.1;77.4;50.5;57.6;74.8;58.6;80.0;76.6;59.7;84.3;86.4;75;60;1.8;35.0;12.5;33.7;37.1;Cyprus;0.9;$34.5 ;3.9;2.8;$39.973;8.1;0.8;3.285.0;102.5
44;Czech Republic;CzechRepublic;Europe;23;13;74.8;76.8;49.9;64.2;82.0;52.7;97.8;69.7;77.6;80.8;86.4;80;80;1.8;15.0;19.0;34.9;39.7;Czech Republic;10.6;$395.9 ;2.9;3.5;$37.371;2.4;2.2;9.478.9;33.0
45;Denmark;Denmark;Europe;8;4;78.3;86.3;84.6;93.0;42.0;19.7;97.7;88.7;86.2;84.6;86.4;90;80;1.8;56.0;23.5;46.0;51.7;Denmark;5.8;$301.3 ;1.2;2.0;$52.121;5.0;0.7;1.789.5;34.3
46;Djibouti;Djibouti;Sub-Saharan Africa;151;33;52.9;58.8;31.7;25.5;75.3;53.6;10.9;62.3;60.6;76.5;49.8;80;50;17.6;30.0;25.0;30.8;39.3;Djibouti;1.0;$4.0 ;6.7;6.5;$3.786;11.1;-0.1;265.0;67.4
47;Dominica;Dominica;Americas;97;20;60.8;59.8;62.6;51.2;70.5;16.0;86.2;70.4;60.7;83.5;68.4;70;30;8.3;35.0;30.0;28.7;52.9;Dominica;0.1;$0.7 ;-12.0;-2.8;$9.886;0.0;1.4;-37.2;83.1
48;Dominican Republic;DominicanRepublic;Americas;95;19;60.9;55.8;18.2;31.2;84.5;90.5;82.4;50.3;57.5;73.5;76.6;70;40;4.2;25.0;27.0;13.9;17.8;Dominican Republic;10.3;$189.2 ;7.0;6.6;$18.425;5.8;3.6;2.535.3;41.6
49;Ecuador;Ecuador;Americas;158;28;51.3;40.4;20.7;33.4;77.5;57.9;62.3;53.8;48.0;81.0;66.0;35;40;7.0;35.0;25.0;19.9;37.5;Ecuador;17.0;$199.5 ;1.1;1.2;$11.718;3.9;-0.2;1.401.0;46.1
